Relatório do Histórico de Negociação;;;;;;;;;;;;;;
Nome:;;;Standard;;;;;;;;;;;
Conta:;;;198120554 (USD, Exness-MT5Trial11, demo, Hedge);;;;;;;;;;;
Empresa:;;;Exness Technologies Ltd;;;;;;;;;;;
Data:;;;2026.02.26 12:08;;;;;;;;;;;
Posições;;;;;;;;;;;;;;
Horário;Position;Ativo;Tipo;Volume;Preço;S / L;T / P;Horário;Preço;Comissão;Swap;Lucro;;
2026.02.26 13:27:49;433741919;XAGUSDm;buy;0.04; 87,202; 87,033; 87,952;2026.02.26 13:43:54; 87,033;0,00;0,00;- 33,80;;
2026.02.26 13:43:55;433761953;XAGUSDm;buy;0.04; 87,121; 87,126; 88,831;2026.02.26 13:59:50; 87,126;0,00;0,00; 1,00;;
2026.02.26 13:59:51;433781347;XAGUSDm;buy;0.04; 87,166; 86,666; 88,916;2026.02.26 14:04:00; 86,666;0,00;0,00;- 100,00;;
2026.02.26 14:04:01;433789335;XAGUSDm;buy;0.04; 86,725; 86,378; 88,455;2026.02.26 14:30:16; 86,378;0,00;0,00;- 69,40;;
2026.02.26 14:40:00;433865538;NFLXm;buy;1.64; 83,68; 83,34; 85,85;2026.02.26 14:47:41; 83,97;0,00;0,00; 47,56;;
2026.02.26 14:40:07;433866045;INTUm;buy;0.5; 397,28; 395,23; 404,46;2026.02.26 14:40:07; 396,01;0,00;0,00;- 63,50;;
2026.02.26 14:40:08;433866178;INTUm;buy;0.5; 397,19; 395,14; 404,37;2026.02.26 14:40:09; 395,20;0,00;0,00;- 99,50;;
2026.02.26 14:40:10;433866346;INTUm;buy;0.49; 396,50; 394,45; 403,68;2026.02.26 14:40:11; 395,02;0,00;0,00;- 72,52;;
2026.02.26 14:47:42;433888864;NFLXm;buy;1.39; 84,37; 83,64; 86,93;2026.02.26 14:47:43; 83,98;0,00;0,00;- 54,21;;
2026.02.26 14:47:44;433888924;NFLXm;buy;1.38; 84,33; 83,60; 86,89;2026.02.26 14:47:48; 83,96;0,00;0,00;- 51,06;;
2026.02.26 14:47:52;433889203;NFLXm;buy;1.37; 84,32; 83,59; 86,88;2026.02.26 14:50:06; 84,02;0,00;0,00;- 41,10;;
Ordens;;;;;;;;;;;;;;
Horário da Abertura;Ordem;Ativo;Tipo;Volume;Preço;S / L;T / P;Horário;Estado;;Comentário;;;
2026.02.26 13:27:49;433741919;XAGUSDm;buy;0.04 / 0.04;market; 86,702; 87,952;2026.02.26 13:27:49;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 13:43:54;433761928;XAGUSDm;sell;0.04 / 0.04; 87,033;;;2026.02.26 13:43:54;filled;;[sl 87.033];;;
2026.02.26 13:43:55;433761953;XAGUSDm;buy;0.04 / 0.04;market; 86,581; 88,831;2026.02.26 13:43:55;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 13:59:50;433781331;XAGUSDm;sell;0.04 / 0.04; 87,126;;;2026.02.26 13:59:50;filled;;[sl 87.126];;;
2026.02.26 13:59:51;433781347;XAGUSDm;buy;0.04 / 0.04;market; 86,666; 88,916;2026.02.26 13:59:51;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:04:00;433789246;XAGUSDm;sell;0.04 / 0.04; 86,666;;;2026.02.26 14:04:00;filled;;[sl 86.666];;;
2026.02.26 14:04:01;433789335;XAGUSDm;buy;0.04 / 0.04;market; 86,205; 88,455;2026.02.26 14:04:01;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:30:16;433827067;XAGUSDm;sell;0.04 / 0.04; 86,378;;;2026.02.26 14:30:16;filled;;[sl 86.378];;;
2026.02.26 14:40:00;433865538;NFLXm;buy;1.64 / 1.64;market; 83,01; 85,85;2026.02.26 14:40:00;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:40:07;433866045;INTUm;buy;0.5 / 0.5;market; 395,23; 404,46;2026.02.26 14:40:07;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:40:07;433866154;INTUm;sell;0.5 / 0.5;market;;;2026.02.26 14:40:07;filled;;;;;
2026.02.26 14:40:08;433866178;INTUm;buy;0.5 / 0.5;market; 395,14; 404,37;2026.02.26 14:40:08;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:40:09;433866276;INTUm;sell;0.5 / 0.5;market;;;2026.02.26 14:40:09;filled;;;;;
2026.02.26 14:40:10;433866346;INTUm;buy;0.49 / 0.49;market; 394,45; 403,68;2026.02.26 14:40:10;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:40:11;433866403;INTUm;sell;0.49 / 0.49;market;;;2026.02.26 14:40:11;filled;;;;;
2026.02.26 14:47:41;433888851;NFLXm;sell;1.64 / 1.64;market;;;2026.02.26 14:47:41;filled;;;;;
2026.02.26 14:47:42;433888864;NFLXm;buy;1.39 / 1.39;market; 83,64; 86,93;2026.02.26 14:47:42;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:47:43;433888896;NFLXm;sell;1.39 / 1.39;market;;;2026.02.26 14:47:43;filled;;;;;
2026.02.26 14:47:44;433888924;NFLXm;buy;1.38 / 1.38;market; 83,60; 86,89;2026.02.26 14:47:44;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:47:47;433889117;NFLXm;sell;1.38 / 1.38;market;;;2026.02.26 14:47:48;filled;;;;;
2026.02.26 14:47:52;433889203;NFLXm;buy;1.37 / 1.37;market; 83,59; 86,88;2026.02.26 14:47:52;filled;;KAMA Trend (Filtered) [Adaptive;;;
2026.02.26 14:50:06;433894078;NFLXm;sell;1.37 / 1.37;market;;;2026.02.26 14:50:06;filled;;;;;
Transações;;;;;;;;;;;;;;
Horário;Oferta;Ativo;Tipo;Direção;Volume;Preço;Ordem;Comissão;Taxa;Swap;Lucro;Saldo;Comentário;
2026.02.26 13:27:49;321615700;XAGUSDm;buy;in;0.04; 87,202;433741919;0,00;0,00;0,00;0,00;10 540,03;KAMA Trend (Filtered) [Adaptive;
2026.02.26 13:43:54;321630426;XAGUSDm;sell;out;0.04; 87,033;433761928;0,00;0,00;0,00;- 33,80;10 506,23;[sl 87.033];
2026.02.26 13:43:55;321630438;XAGUSDm;buy;in;0.04; 87,121;433761953;0,00;0,00;0,00;0,00;10 506,23;KAMA Trend (Filtered) [Adaptive;
2026.02.26 13:59:50;321645763;XAGUSDm;sell;out;0.04; 87,126;433781331;0,00;0,00;0,00; 1,00;10 507,23;[sl 87.126];
2026.02.26 13:59:51;321645802;XAGUSDm;buy;in;0.04; 87,166;433781347;0,00;0,00;0,00;0,00;10 507,23;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:04:00;321651688;XAGUSDm;sell;out;0.04; 86,666;433789246;0,00;0,00;0,00;- 100,00;10 407,23;[sl 86.666];
2026.02.26 14:04:01;321651746;XAGUSDm;buy;in;0.04; 86,725;433789335;0,00;0,00;0,00;0,00;10 407,23;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:30:16;321679127;XAGUSDm;sell;out;0.04; 86,378;433827067;0,00;0,00;0,00;- 69,40;10 337,83;[sl 86.378];
2026.02.26 14:40:00;321707976;NFLXm;buy;in;1.64; 83,68;433865538;0,00;0,00;0,00;0,00;10 337,83;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:40:07;321708319;INTUm;buy;in;0.5; 397,28;433866045;0,00;0,00;0,00;0,00;10 337,83;KAMA Trend (Filtered) [Adaptive;
