PRICE,CHANGE,RSI,TREND,INTRA,TIME,ASSET,Variação,Status_RSI
204.38,-1.37,49.27,BEARISH_MACRO,BELOW_OPEN,2026.02.11 20,AMZN,🔴 -1.37%,⚖️ NORMAL
68051.29,-1.16,60.92,BEARISH_MACRO,BELOW_OPEN,2026.02.17 12,BTCUSD,🔴 -1.16%,⚖️ NORMAL
76.43,4.10,37.38,BEARISH_MACRO,ABOVE_OPEN,2026.02.13 20,CSCO,🟢 4.10%,⚖️ NORMAL
949.23,-0.34,37.82,BULLISH_MACRO,BELOW_OPEN,2026.02.13 20,EQIX,🔴 -0.34%,⚖️ NORMAL
87.72,3.16,58.41,BULLISH_MACRO,ABOVE_OPEN,2026.02.11 20,FTNT,🟢 3.16%,⚖️ NORMAL
260.27,-2.69,47.66,BEARISH_MACRO,BELOW_OPEN,2026.02.12 20,IBM,🔴 -2.69%,⚖️ NORMAL
82.72,-0.56,52.37,BULLISH_MACRO,BELOW_OPEN,2026.02.26 13,NFLX,🔴 -0.56%,⚖️ NORMAL
217.50,0.31,57.70,BULLISH_MACRO,ABOVE_OPEN,2026.02.13 20,TMUS,🟢 0.31%,⚖️ NORMAL
373.28,2.77,43.77,BULLISH_MACRO,ABOVE_OPEN,2026.02.11 20,TSM,🟢 2.77%,⚖️ NORMAL
153.14,-0.27,67.19,BULLISH_MACRO,BELOW_OPEN,2026.02.17 12,USDJPY,🔴 -0.27%,⚖️ NORMAL
87.08,-0.55,49.95,BEARISH_MACRO,BELOW_OPEN,2026.02.26 14,XAGUSD,🔴 -0.55%,⚖️ NORMAL
5164.68,0.03,39.42,BEARISH_MACRO,ABOVE_OPEN,2026.02.26 14,XAUUSD,🟢 0.03%,⚖️ NORMAL
